================================================================
TRACKER: Quant.tkr
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/Quant.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          8,903,400,000,000
Start Time:           7/15/2026 9:33:24 PM UTC
End Time:             7/25/2026 3:48:02 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

Quant.tkr : 20260725_034802.65 | 8903400000000 flips → heads: 50+2.6e-05% (Z:+0.1634) | a: 50+1.1e-04% (Z:+0.7017) | aHeads: 50+8.5e-05% | aTails: 50+1.4e-04% | aSame: 50+4.3e-04% | aDiff: 50-2.1e-04% | [RATE] H/T: 50+1.4e-04%/ 50+8.5e-05% S/D: 50+4.3e-04%/ 50-2.1e-04% | wallclock: 9.06:11:32 | fps: 11130745 | Z(1.96) in 16:58:23 | Z(3.00) in 1.19:06:55

segments              : 89
Edge Excursion Score  : +0.401426   // median(best TrueZ per segment)
Edge Settlement Score : -0.920284   // mean(end TrueZ per segment)
Edge Persistence Index: -0.383004   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.383116
medianBestTrueZ       : +0.401426
avgEndTrueZ           : -0.920284
medianEndTrueZ        : -0.995049
avgMeanTrueZ          : -0.967614

bestTrueZ >= 1.96     :   4.4944%
bestTrueZ >= 3.00     :   3.3708%
endTrueZ  >= 0.00     :  23.5955%
endTrueZ  >= 1.96     :   1.1236%
meanTrueZ >= 0.00     :  13.4831%

Anticipation Path:
avgMeanA               : 50-2.10422e-05%
avgEndA                : 50-2.23320e-05%
medianEndA             : 50-5.00780e-05%
avgPctAAtLeast50       :  41.6180%
endA >= 50.00          :  40.4494%

Underlying Heads:
avgMeanZHeads          : -0.005895
avgEndZHeads           : -0.008002
medianEndZHeads        : +0.035645
avgPctZHeadsAbove0     :  51.3094%
endZHeads >= 0.00      :  51.6854%
|endZHeads| >= 1.96    :   7.8652%
corrMeanZHeadsMeanTrueZ: +0.192722
corrEndZHeadsEndTrueZ  : +0.255668
corrMeanAMeanZHeads    : +0.180743
corrEndAEndZHeads      : +0.268929
corrMeanAMeanTrueZ     : +0.902737
corrEndAEndTrueZ       : +0.856071

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
 42 | 4,200,000,000,000..4… | -0.115973 |  50-1.10030e-05% | -1.533123 | -1.018771 |  50-1.48196e-04% |  50-6.85431e-05% | +0.595849 | -0.166630 |   5.000% |  38.600%
 43 | 4,300,000,000,000..4… | -1.062949 |  50-1.61697e-04% | -1.596210 | -1.606457 |  50-2.08483e-04% |  50-2.10397e-04% | +0.277648 | +0.167310 |   0.000% |  71.200%
 44 | 4,400,000,000,000..4… | +1.108935 |  50+1.96125e-04% | -0.619737 | -0.604993 |  50+3.16920e-05% |  50-5.66312e-05% | -0.820175 | -0.010576 |  35.200% |  58.800%
 45 | 4,500,000,000,000..4… | +0.329060 |  50+6.03800e-05% | -1.417757 | -1.728180 |  50-1.55226e-04% |  50-1.04325e-04% | -0.436021 | -1.068210 |  20.200% |   0.400%
 46 | 4,600,000,000,000..4… | -0.398567 |  50-1.76800e-05% | -1.371410 | -1.302861 |  50-1.83350e-05% |  50-6.63314e-05% | +1.255450 | +0.735657 |  26.000% |  77.400%
 47 | 4,700,000,000,000..4… | -0.463419 |  50-7.01300e-05% | -1.776504 | -1.316878 |  50-1.02161e-04% |  50-8.08844e-05% | -1.130381 | -0.254314 |   0.200% |  36.800%
 48 | 4,800,000,000,000..4… | +0.172920 |  50+4.36780e-05% | +0.113722 | -0.799920 |  50+5.90220e-05% |  50-5.95055e-05% | -0.259566 | -0.412518 |  13.400% |   6.800%
 49 | 4,900,000,000,000..4… | +1.092940 |  50+1.75380e-04% | -0.604235 | -0.311709 |  50-9.40610e-05% |  50+4.08271e-05% | +0.009341 | +0.344486 |  62.600% |  72.600%
 50 | 5,000,000,000,000..5… | -0.365705 |  50-4.47350e-05% | -1.278161 | -1.232617 |  50-1.23676e-04% |  50-6.97588e-05% | -0.495965 | -0.646324 |  15.200% |  15.000%
 51 | 5,100,000,000,000..5… | -0.703385 |  50-9.15140e-05% | -2.032174 | -1.564492 |  50-1.43170e-04% |  50-1.45295e-04% | +1.126688 | +0.462208 |   0.000% |  67.800%
 52 | 5,200,000,000,000..5… | -1.759782 |  50-1.12221e-04% | -2.166590 | -3.020622 |  50+3.15920e-05% |  50-1.60268e-04% | +2.366396 | +2.006999 |   0.800% | 100.000%
 53 | 5,300,000,000,000..5… | +1.119149 |  50+1.88206e-04% | -0.564505 | -0.411049 |  50-5.00780e-05% |  50+1.39004e-04% | +0.247783 | +1.280234 |  91.000% |  95.400%
 54 | 5,400,000,000,000..5… | -0.318865 |  50-4.34770e-05% | -3.231241 | -2.233048 |  50-4.29710e-04% |  50-2.78257e-04% | -0.513516 | +0.219116 |   0.000% |  60.600%
 55 | 5,500,000,000,000..5… | -0.579753 |  50-3.86210e-05% | -1.379392 | -2.818209 |  50-2.09401e-04% |  50-3.40652e-04% | +0.055024 | -0.643686 |   0.000% |   7.000%
 56 | 5,600,000,000,000..5… | -0.325904 |  50-4.64190e-05% | -1.106930 | -2.123484 |  50-8.20060e-05% |  50-2.17694e-04% | -0.588279 | -0.718317 |   0.000% |  12.200%
 57 | 5,700,000,000,000..5… | +0.817923 |  50+1.77398e-04% | -0.927547 | -0.339201 |  50+1.08462e-04% |  50+8.64381e-05% | +1.613521 | +0.749187 |  79.200% |  75.600%
 58 | 5,800,000,000,000..5… | -0.241035 |  50+1.24966e-04% | -1.716446 | -1.635973 |  50-6.73420e-05% |  50+1.98853e-06% | +1.290538 | +1.648550 |  51.200% | 100.000%
 59 | 5,900,000,000,000..5… | -0.697864 |  50-9.99370e-05% | -2.722000 | -1.836772 |  50-7.99390e-05% |  50-1.52069e-04% | -2.216421 | -0.480404 |   0.000% |  37.400%
 60 | 6,000,000,000,000..6… | +1.117302 |  50+2.01200e-04% | +0.801770 | -1.064240 |  50+1.39544e-04% |  50+8.70988e-05% | -0.080784 | -1.608296 |  92.400% |   4.600%
 61 | 6,100,000,000,000..6… | +1.286838 |  50+2.04354e-04% | -3.201351 | -1.039585 |  50-1.47013e-04% |  50+5.17963e-05% | -2.271559 | -1.224128 |  70.800% |  26.600%
 62 | 6,200,000,000,000..6… | +1.109922 |  50+2.01122e-04% | +1.109922 | -1.381067 |  50+2.01122e-04% |  50-3.78493e-05% | +0.162086 | -0.917055 |  32.200% |  37.200%
 63 | 6,300,000,000,000..6… | +1.337637 |  50+2.20929e-04% | -0.444806 | +0.228099 |  50-6.69980e-05% |  50+1.02913e-04% | -0.021073 | +0.112866 |  76.200% |  61.400%
 64 | 6,400,000,000,000..6… | -0.081087 |  50-1.19540e-05% | -0.827998 | -1.171391 |  50-1.03108e-04% |  50-1.17769e-04% | -0.175886 | -0.406299 |   0.000% |   7.400%
 65 | 6,500,000,000,000..6… | -0.631285 |  50-7.99280e-05% | -0.747284 | -1.556897 |  50-5.98870e-05% |  50-1.33265e-04% | +0.368526 | +0.668412 |   0.000% |  87.600%
 66 | 6,600,000,000,000..6… | +0.324121 |  50+1.11001e-04% | -3.055241 | -1.024424 |  50-3.95910e-04% |  50-8.99707e-05% | +0.551286 | +0.453454 |  41.400% |  98.600%
 67 | 6,700,000,000,000..6… | -0.657001 |  50+2.04846e-04% | -1.296534 | -2.320129 |  50+1.29681e-04% |  50-1.73380e-04% | +2.116708 | +1.223578 |  25.600% | 100.000%
 68 | 6,800,000,000,000..6… | +0.026152 |  50+6.51250e-05% | -1.641861 | -1.304179 |  50-1.53068e-04% |  50-2.60593e-05% | -0.673774 | +0.975261 |  45.200% |  76.400%
 69 | 6,900,000,000,000..6… | -1.640324 |  50-1.28148e-04% | -2.645802 | -3.010051 |  50-1.15773e-04% |  50-2.00644e-04% | -1.913589 | -1.741065 |   0.000% |   0.000%
 70 | 7,000,000,000,000..7… | +1.302106 |  50+2.17896e-04% | +0.956962 | -0.999225 |  50+1.91934e-04% |  50-7.85076e-06% | -0.256935 | -0.747716 |  49.400% |  27.000%
 71 | 7,100,000,000,000..7… | +3.411921 |  50+5.74363e-04% | +1.918105 | +2.075648 |  50+3.27221e-04% |  50+3.75388e-04% | +0.151423 | +0.214680 | 100.000% |  71.600%
 72 | 7,200,000,000,000..7… | +1.927427 |  50+3.61568e-04% | -1.045272 | +0.924568 |  50+9.19250e-05% |  50+2.52904e-04% | +1.626657 | +0.643592 | 100.000% |  92.400%
 73 | 7,300,000,000,000..7… | +0.401426 |  50+6.68980e-05% | -0.637363 | -0.684412 |  50+5.23130e-05% |  50+1.21629e-05% | -0.968220 | +0.235839 |  58.200% |  69.200%
 74 | 7,400,000,000,000..7… | +0.089138 |  50+1.33898e-04% | -0.772070 | -0.909947 |  50-1.03400e-04% |  50-3.82533e-05% | +0.118111 | -0.570983 |  30.000% |  18.600%
 75 | 7,500,000,000,000..7… | +1.150291 |  50+1.84653e-04% | +0.349172 | +0.007734 |  50+1.68767e-04% |  50+5.88752e-05% | -0.718204 | +0.023642 |  88.200% |  59.600%
 76 | 7,600,000,000,000..7… | +0.788191 |  50+1.26189e-04% | -0.785889 | -0.057582 |  50+2.48380e-05% |  50+6.79685e-05% | +0.942979 | -0.255809 |  88.000% |  24.600%
 77 | 7,700,000,000,000..7… | +0.444433 |  50+8.85540e-05% | -1.228829 | -0.775857 |  50-1.10009e-04% |  50-1.62079e-05% | -0.533071 | +0.522625 |  58.600% |  74.200%
 78 | 7,800,000,000,000..7… | +0.893723 |  50+1.72479e-04% | +0.569861 | -0.483585 |  50+1.34320e-04% |  50-9.59947e-06% | +0.279653 | -0.083693 |  34.200% |  40.200%
 79 | 7,900,000,000,000..7… | +2.358300 |  50+4.38492e-04% | +0.905063 | +0.909192 |  50+1.75726e-04% |  50+2.27528e-04% | -0.206326 | -0.489053 | 100.000% |  13.000%
 80 | 8,000,000,000,000..8… | +1.666381 |  50+2.63534e-04% | +1.421690 | +0.850678 |  50+2.30425e-04% |  50+1.92208e-04% | +0.035645 | -0.087246 | 100.000% |  41.800%
 81 | 8,100,000,000,000..8… | +1.781431 |  50+3.07484e-04% | -0.595128 | +0.345974 |  50-7.36560e-05% |  50+1.52919e-04% | +0.129287 | +0.516963 |  87.200% |  70.200%
 82 | 8,200,000,000,000..8… | +0.626846 |  50+1.41982e-04% | +0.441093 | -1.216278 |  50+1.37128e-04% |  50-9.11935e-05% | -0.426180 | -0.264914 |  19.400% |  40.600%
 83 | 8,300,000,000,000..8… | +0.753349 |  50+2.26000e-04% | -0.994100 | -1.001582 |  50-1.41430e-04% |  50-3.43460e-05% | +0.099618 | -0.776561 |  37.200% |   3.200%
 84 | 8,400,000,000,000..8… | +0.700799 |  50+2.59514e-04% | +0.271595 | -0.230352 |  50+1.50522e-04% |  50+1.24290e-04% | +0.680389 | +1.015777 |  76.600% |  99.200%
 85 | 8,500,000,000,000..8… | +0.732080 |  50+1.60192e-04% | -1.251313 | -0.542289 |  50+7.01760e-05% |  50+5.06378e-05% | +1.695145 | +0.862551 |  77.800% | 100.000%
 86 | 8,600,000,000,000..8… | +0.403361 |  50+1.42321e-04% | -1.325627 | -1.072532 |  50-8.08750e-05% |  50+6.86307e-06% | -0.814128 | +0.836891 |  67.400% |  69.800%
 87 | 8,700,000,000,000..8… | -1.073195 |  50-1.46949e-04% | -1.921185 | -1.868440 |  50-1.57967e-04% |  50-1.80172e-04% | +0.922114 | +0.563267 |   0.000% |  78.600%
 88 | 8,800,000,000,000..8… | +0.799961 |  50+1.30398e-04% | +0.654731 | -0.361681 |  50+1.24366e-04% |  50+7.18289e-06% | -0.131829 | -0.110275 |  52.200% |  48.400%

Retained Anticipation: 50+9.20443e-05%
Settlement Adjusted Anticipation: 50+1.70155e-04%

Best excursion segment:
  idx         : 35

  TrueZ:
    bestTrueZ   : +3.500148
    meanTrueZ   : +1.922725
    endTrueZ    : +3.269991

  Anticipation:
    aAtTrueZ    : 50+5.81612e-04%
    mean a      : 50+3.48627e-04%
    min a       : 50+1.55110e-04%
    max a       : 50+5.90352e-04%
    end a       : 50+5.68589e-04%
    pct a >= 50 : 100.0000%

  Heads:
    best ZHeads : +0.178289
    mean ZHeads : +0.207012
    min ZHeads  : -0.487029
    max ZHeads  : +0.702139
    end ZHeads  : +0.326081
    pct ZH >= 0 : 78.2000%

Best settlement segment:
  idx         : 35

  TrueZ:
    bestTrueZ   : +3.500148
    meanTrueZ   : +1.922725
    endTrueZ    : +3.269991

  Anticipation:
    aAtTrueZ    : 50+5.81612e-04%
    mean a      : 50+3.48627e-04%
    min a       : 50+1.55110e-04%
    max a       : 50+5.90352e-04%
    end a       : 50+5.68589e-04%
    pct a >= 50 : 100.0000%

  Heads:
    best ZHeads : +0.178289
    mean ZHeads : +0.207012
    min ZHeads  : -0.487029
    max ZHeads  : +0.702139
    end ZHeads  : +0.326081
    pct ZH >= 0 : 78.2000%

Worst settlement segment:
  idx         : 33

  TrueZ:
    bestTrueZ   : -1.090119
    meanTrueZ   : -3.026320
    endTrueZ    : -4.908690

  Anticipation:
    aAtTrueZ    : 50-1.60545e-04%
    mean a      : 50-3.01854e-04%
    min a       : 50-4.42278e-04%
    max a       : 50-1.54365e-04%
    end a       : 50-3.51910e-04%
    pct a >= 50 : 0.0000%

  Heads:
    best ZHeads : +0.074744
    mean ZHeads : -0.912307
    min ZHeads  : -2.683016
    max ZHeads  : +1.196207
    end ZHeads  : -2.683016
    pct ZH >= 0 : 16.8000%

File compute time: 9.06:11:32.5242718
================================================================
TRACKER: crypto3.tkr
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/crypto3.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          8,917,800,000,000
Start Time:           4/9/2026 11:22:53 AM UTC
End Time:             4/14/2026 1:00:55 PM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto3.tkr : 20260414_130055.40 | 8917800000000 flips → heads: 50+6.9e-05% (Z:+0.4393) | a: 50-7.5e-05% (Z:-0.4754) | aHeads: 50-1.4e-04% | aTails: 50-5.6e-06% | aSame: 50-6.5e-05% | aDiff: 50-8.5e-05% | [RATE] H/T: 50-5.7e-06%/ 50-1.4e-04% S/D: 50-6.5e-05%/ 50-8.5e-05% | wallclock: 5.01:15:36 | fps: 20428509 | Z(1.96) unreachable | Z(3.00) unreachable

segments              : 89
Edge Excursion Score  : +0.730745   // median(best TrueZ per segment)
Edge Settlement Score : -0.688018   // mean(end TrueZ per segment)
Edge Persistence Index: -0.352456   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.679612
medianBestTrueZ       : +0.730745
avgEndTrueZ           : -0.688018
medianEndTrueZ        : -0.556997
avgMeanTrueZ          : -0.682027

bestTrueZ >= 1.96     :   6.7416%
bestTrueZ >= 3.00     :   0.0000%
endTrueZ  >= 0.00     :  28.0899%
endTrueZ  >= 1.96     :   0.0000%
meanTrueZ >= 0.00     :  24.7191%

Anticipation Path:
avgMeanA               : 50+8.95539e-06%
avgEndA                : 50+9.25916e-06%
medianEndA             : 50+1.40300e-06%
avgPctAAtLeast50       :  51.2277%
endA >= 50.00          :  50.5618%

Underlying Heads:
avgMeanZHeads          : +0.134074
avgEndZHeads           : +0.144419
medianEndZHeads        : -0.061804
avgPctZHeadsAbove0     :  52.0451%
endZHeads >= 0.00      :  48.3146%
|endZHeads| >= 1.96    :   7.8652%
corrMeanZHeadsMeanTrueZ: -0.205429
corrEndZHeadsEndTrueZ  : -0.283416
corrMeanAMeanZHeads    : -0.009145
corrEndAEndZHeads      : -0.043986
corrMeanAMeanTrueZ     : +0.902732
corrEndAEndTrueZ       : +0.861298

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
----+-----------------------+-----------+------------------+-----------+-----------+------------------+------------------+-----------+-----------+---------+---------
